Date : 2022-05-08 23:12:16
Directory : c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations
Total : 4402 files,  1243208 codes, 566165 comments, 242171 blanks, all 2051544 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_lbfgsb_setulb.py                            | Python           |         95 |          5 |         17 |        117 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_least_squares.py                            | Python           |        575 |         41 |        141 |        757 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_linear_assignment.py                        | Python           |         70 |          9 |         24 |        103 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_linesearch.py                               | Python           |        213 |         28 |         52 |        293 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_linprog.py                                  | Python           |      1,266 |        245 |        265 |      1,776 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_lsq_common.py                               | Python           |        224 |          1 |         73 |        298 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_lsq_linear.py                               | Python           |        128 |          2 |         33 |        163 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_minimize_constrained.py                     | Python           |        459 |         98 |        122 |        679 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_minpack.py                                  | Python           |        598 |        118 |        167 |        883 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_nnls.py                                     | Python           |         20 |          7 |          8 |         35 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_nonlin.py                                   | Python           |        298 |         43 |        105 |        446 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_optimize.py                                 | Python           |      1,540 |        235 |        398 |      2,173 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_regression.py                               | Python           |         26 |          6 |          9 |         41 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_slsqp.py                                    | Python           |        379 |         99 |         89 |        567 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_tnc.py                                      | Python           |        226 |         16 |         62 |        304 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_trustregion.py                              | Python           |         77 |         14 |         14 |        105 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_trustregion_exact.py                        | Python           |        204 |         62 |         87 |        353 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_trustregion_krylov.py                       | Python           |        113 |         28 |         30 |        171 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tests\test_zeros.py                                    | Python           |        528 |         95 |        133 |        756 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\tnc.py                                                 | Python           |        152 |        259 |         40 |        451 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\optimize\zeros.py                                               | Python           |        534 |        750 |         88 |      1,372 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\setup.py                                                        | Python           |         30 |          0 |          4 |         34 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\__init__.py                                              | Python           |         50 |        294 |         18 |        362 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\_arraytools.py                                           | Python           |         61 |        168 |         13 |        242 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\_max_len_seq.py                                          | Python           |         41 |         88 |          9 |        138 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\_peak_finding.py                                         | Python           |        256 |        980 |         64 |      1,300 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\_savitzky_golay.py                                       | Python           |         93 |        223 |         36 |        352 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\_upfirdn.py                                              | Python           |         47 |        154 |         15 |        216 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\bsplines.py                                              | Python           |        219 |        176 |         54 |        449 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\filter_design.py                                         | Python           |      1,305 |      3,211 |        378 |      4,894 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\fir_filter_design.py                                     | Python           |        317 |        875 |         71 |      1,263 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\lti_conversion.py                                        | Python           |        178 |        260 |         65 |        503 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\ltisys.py                                                | Python           |      1,143 |      2,400 |        298 |      3,841 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\setup.py                                                 | Python           |         32 |          0 |         11 |         43 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\signaltools.py                                           | Python           |      1,321 |      2,606 |        356 |      4,283 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\spectral.py                                              | Python           |        450 |      1,421 |        129 |      2,000 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\__init__.py                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\mpsig.py                                           | Python           |         57 |         39 |         27 |        123 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\test_array_tools.py                                | Python           |         82 |          0 |         30 |        112 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\test_bsplines.py                                   | Python           |        187 |         19 |         13 |        219 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\test_cont2discrete.py                              | Python           |        284 |         43 |         94 |        421 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\test_dltisys.py                                    | Python           |        398 |         85 |        116 |        599 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\test_filter_design.py                              | Python           |      2,988 |        290 |        459 |      3,737 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\test_fir_filter_design.py                          | Python           |        427 |        107 |        108 |        642 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\test_ltisys.py                                     | Python           |        821 |        220 |        229 |      1,270 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\test_max_len_seq.py                                | Python           |         45 |         13 |          8 |         66 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\test_peak_finding.py                               | Python           |        571 |        164 |        113 |        848 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\test_savitzky_golay.py                             | Python           |        183 |         51 |         68 |        302 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\test_signaltools.py                                | Python           |      2,533 |        241 |        607 |      3,381 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\test_spectral.py                                   | Python           |      1,163 |         55 |        244 |      1,462 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\test_upfirdn.py                                    | Python           |        187 |         54 |         33 |        274 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\test_waveforms.py                                  | Python           |        282 |         12 |         58 |        352 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\test_wavelets.py                                   | Python           |        114 |         10 |         29 |        153 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\tests\test_windows.py                                    | Python           |        506 |         24 |        109 |        639 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\waveforms.py                                             | Python           |        134 |        491 |         40 |        665 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\wavelets.py                                              | Python           |        147 |        307 |         28 |        482 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\windows\__init__.py                                      | Python           |          6 |         39 |          3 |         48 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\windows\setup.py                                         | Python           |          5 |          0 |          5 |         10 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\signal\windows\windows.py                                       | Python           |        349 |      1,662 |        111 |      2,122 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\__init__.py                                              | Python           |         18 |        224 |          8 |        250 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\_index.py                                                | Python           |        259 |         53 |         56 |        368 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\_matrix_io.py                                            | Python           |         45 |         92 |         13 |        150 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\base.py                                                  | Python           |        539 |        517 |        163 |      1,219 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\bsr.py                                                   | Python           |        391 |        202 |        123 |        716 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\compressed.py                                            | Python           |        886 |        224 |        185 |      1,295 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\construct.py                                             | Python           |        261 |        499 |         84 |        844 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\coo.py                                                   | Python           |        338 |        196 |         84 |        618 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\csc.py                                                   | Python           |         97 |        127 |         36 |        260 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\csgraph\__init__.py                                      | Python           |         41 |        150 |          5 |        196 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\csgraph\_laplacian.py                                    | Python           |         55 |         59 |         13 |        127 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\csgraph\_validation.py                                   | Python           |         45 |          3 |          9 |         57 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\csgraph\setup.py                                         | Python           |         27 |          0 |         12 |         39 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\csgraph\tests\__init__.py                                | Python           |          0 |          0 |          1 |          1 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\csgraph\tests\test_connected_components.py               | Python           |         74 |          4 |         22 |        100 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\csgraph\tests\test_conversions.py                        | Python           |         42 |          4 |         16 |         62 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\csgraph\tests\test_flow.py                               | Python           |         88 |         13 |         24 |        125 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\csgraph\tests\test_graph_laplacian.py                    | Python           |        100 |          9 |         26 |        135 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\csgraph\tests\test_matching.py                           | Python           |        109 |          8 |         29 |        146 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\csgraph\tests\test_reordering.py                         | Python           |         54 |          5 |         12 |         71 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\csgraph\tests\test_shortest_path.py                      | Python           |        261 |          9 |         65 |        335 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\csgraph\tests\test_spanning_tree.py                      | Python           |         41 |         11 |         14 |         66 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\csgraph\tests\test_traversal.py                          | Python           |         52 |          0 |         17 |         69 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\csr.py                                                   | Python           |        157 |        150 |         52 |        359 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\data.py                                                  | Python           |        206 |        124 |         68 |        398 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\dia.py                                                   | Python           |        254 |        110 |         68 |        432 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\dok.py                                                   | Python           |        288 |        100 |         66 |        454 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\extract.py                                               | Python           |         21 |        133 |         16 |        170 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\generate_sparsetools.py                                  | Python           |        182 |        199 |         53 |        434 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\lil.py                                                   | Python           |        325 |        149 |         77 |        551 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\__init__.py                                       | Python           |         12 |        109 |          4 |        125 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\_expm_multiply.py                                 | Python           |        312 |        349 |         51 |        712 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\_norm.py                                          | Python           |         75 |         97 |         11 |        183 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\_onenormest.py                                    | Python           |        206 |        219 |         42 |        467 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\dsolve\__init__.py                                | Python           |          7 |         55 |          5 |         67 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\dsolve\_add_newdocs.py                            | Python           |         17 |        127 |          9 |        153 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\dsolve\linsolve.py                                | Python           |        258 |        291 |         78 |        627 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\dsolve\setup.py                                   | Python           |         38 |          2 |         14 |         54 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\dsolve\tests\__init__.py                          | Python           |          0 |          0 |          1 |          1 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\dsolve\tests\test_linsolve.py                     | Python           |        595 |         53 |        130 |        778 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\eigen\__init__.py                                 | Python           |          6 |          8 |          3 |         17 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\eigen\arpack\__init__.py                          | Python           |          1 |         19 |          1 |         21 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\eigen\arpack\arpack.py                            | Python           |      1,061 |        663 |        187 |      1,911 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\eigen\arpack\setup.py                             | Python           |         37 |          1 |         14 |         52 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\eigen\arpack\tests\__init__.py                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\eigen\arpack\tests\test_arpack.py                 | Python           |        703 |        119 |        202 |      1,024 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\eigen\lobpcg\__init__.py                          | Python           |          5 |          9 |          3 |         17 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\eigen\lobpcg\lobpcg.py                            | Python           |        373 |        231 |        107 |        711 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\eigen\lobpcg\setup.py                             | Python           |          8 |          0 |          6 |         14 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\eigen\lobpcg\tests\__init__.py                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\eigen\lobpcg\tests\test_lobpcg.py                 | Python           |        250 |         83 |         73 |        406 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\eigen\setup.py                                    | Python           |          9 |          0 |          7 |         16 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\interface.py                                      | Python           |        385 |        301 |        141 |        827 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\__init__.py                                | Python           |         11 |          1 |          4 |         16 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\_gcrotmk.py                                | Python           |        204 |        204 |         80 |        488 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\iterative.py                               | Python           |        473 |        259 |         85 |        817 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\lgmres.py                                  | Python           |         83 |        123 |         27 |        233 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\lsmr.py                                    | Python           |        199 |        218 |         64 |        481 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\lsqr.py                                    | Python           |        210 |        321 |         38 |        569 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\minres.py                                  | Python           |        215 |         98 |         63 |        376 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\setup.py                                   | Python           |         36 |          4 |         13 |         53 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\tests\__init__.py                          | Python           |          0 |          0 |          1 |          1 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\tests\demo_lgmres.py                       | Python           |         44 |          3 |         14 |         61 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\tests\test_gcrotmk.py                      | Python           |        114 |         13 |         39 |        166 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\tests\test_iterative.py                    | Python           |        509 |         59 |        159 |        727 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\tests\test_lgmres.py                       | Python           |        145 |         16 |         52 |        213 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\tests\test_lsmr.py                         | Python           |        139 |         31 |         34 |        204 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\tests\test_lsqr.py                         | Python           |         98 |         13 |         26 |        137 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\tests\test_minres.py                       | Python           |         75 |          4 |         20 |         99 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\tests\test_utils.py                        | Python           |          5 |          0 |          4 |          9 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\isolve\utils.py                                   | Python           |         68 |         31 |         23 |        122 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\matfuncs.py                                       | Python           |        409 |        353 |         98 |        860 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\setup.py                                          | Python           |         11 |          0 |          8 |         19 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\tests\__init__.py                                 | Python           |          0 |          0 |          1 |          1 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\tests\test_expm_multiply.py                       | Python           |        215 |          8 |         29 |        252 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\tests\test_interface.py                           | Python           |        336 |         10 |        105 |        451 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\tests\test_matfuncs.py                            | Python           |        424 |        108 |         51 |        583 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\tests\test_norm.py                                | Python           |        103 |          5 |         17 |        125 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\tests\test_onenormest.py                          | Python           |        173 |         39 |         41 |        253 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\linalg\tests\test_pydata_sparse.py                       | Python           |        160 |          2 |         74 |        236 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Lib\site-packages\scipy\sparse\setup.py                                                 | Python           |         49 |          1 |         12 |         62 |
